Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2010","2010","ha","2227","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2011","2011","ha","2339","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2012","2012","ha","2650","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2013","2013","ha","2555","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2014","2014","ha","2574","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2015","2015","ha","2662","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2016","2016","ha","2597","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2017","2017","ha","2615","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2018","2018","ha","2624","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2019","2019","ha","2612","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2020","2020","ha","2617","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2021","2021","ha","2618","E","Estimated value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2010","2010","ha","1787","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2011","2011","ha","2072","A","Official figure"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2012","2012","ha","1893","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2013","2013","ha","1667","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2014","2014","ha","1645","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2015","2015","ha","1635","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2016","2016","ha","1678","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2017","2017","ha","1689","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2018","2018","ha","1642","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2019","2019","ha","1590","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2020","2020","ha","1640","E","Estimated value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2021","2021","ha","1624","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2010","2010","ha","488","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2011","2011","ha","506","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2012","2012","ha","601","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2013","2013","ha","610","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2014","2014","ha","617","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2015","2015","ha","629","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2016","2016","ha","805","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2017","2017","ha","813","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2018","2018","ha","820","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2019","2019","ha","830","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2020","2020","ha","740","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2021","2021","ha","750","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2010","2010","ha","1693","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2011","2011","ha","1614","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2012","2012","ha","1724","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2013","2013","ha","1771","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2014","2014","ha","1899","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2015","2015","ha","1970","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2016","2016","ha","2019","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2017","2017","ha","2029","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2018","2018","ha","2012","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2019","2019","ha","2159","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2020","2020","ha","1953","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2021","2021","ha","2066","A","Official figure"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2010","2010","ha","1280576","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2011","2011","ha","1320585","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2012","2012","ha","1350614","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2013","2013","ha","1330608","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2014","2014","ha","1335684","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2015","2015","ha","1391167","E","Estimated value"
